metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	1	-25	63.83	94	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	-75	66.67	201	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	-75	66.67	201	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	-75	66.67	201	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	1	-83	65.44	217	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	1	-83	65.44	217	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	1	-83	65.44	217	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	2	-83	65.44	217	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	1	-67	65.05	186	1	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	1	-74	66.33	199	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	1	-74	66.33	199	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	1	-70	65.97	191	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	1	-74	66.33	199	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Leucine dehydrogenase (EC 1.4.1.9)	1	-7	68.57	35	1	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Leucine dehydrogenase (EC 1.4.1.9)	1	-7	68.57	35	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Leucine dehydrogenase (EC 1.4.1.9)	1	-7	68.57	35	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Leucine dehydrogenase (EC 1.4.1.9)	1	-7	68.57	35	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)	1	-123	65.2	319	1	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)	1	-123	65.2	319	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)	1	-123	65.2	319	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)	1	-8	64.58	48	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	1	-65	67.46	169	1	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	1	-65	67.46	169	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	1	-65	67.46	169	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	1	-65	67.46	169	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	1	-65	67.46	169	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	3	-32.67	64.79	106.67	3	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	2	-29	68.7	87	2	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	3	-32.67	64.79	106.67	3	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	3	-16.33	68	59	3	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	4	-32.75	66.49	103.75	4	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	1	-57	63.1	168	1	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	1	-57	63.1	168	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	1	-57	63.1	168	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	1	-57	63.1	168	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	1	-57	63.1	168	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	1	-16	80.77	52	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	1	-16	80.77	52	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	1	-87	64.91	228	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	1	-87	64.91	228	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	1	-87	64.91	228	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	1	-87	64.91	228	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	1	-109	68.2	261	1	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	1	-109	68.2	261	1	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	1	-109	68.2	261	1	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	1	-109	68.2	261	1	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	1	-109	68.2	261	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-39.5	63.45	119	2	
QPX_v15	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	2	-37.67	61.74	122.67	2	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	2	-37.67	61.74	122.67	2	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	2	-37.67	61.74	122.67	2	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	1	-25	63.83	94	1	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase (EC 4.2.1.17)	8	-23.12	62.12	87.62	8	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase (EC 4.2.1.17)	8	-23.12	62.12	87.62	8	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase (EC 4.2.1.17)	6	-15.83	61.87	67.67	6	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase (EC 4.2.1.17)	9	-24.67	62.84	89.56	9	
mmetsp1433	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)	2	-23	60.89	90	2	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)	2	-23	60.89	90	2	
mmetsp992	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)	3	-32.33	62.67	111.33	3	
mmetsp1002	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)	2	-22.5	61.35	87.5	2	
mmetsp98	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	1	-85	79.14	187	1	
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate and Aspartate uptake in Bacteria	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	1	-68	76.1	159	1
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	2	-41	67.83	116.5	2
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-34.5	65.28	101.5	2
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	3	-34	65.05	104	3
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamate dehydrogenases	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	1	-68	76.1	159	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Aspartate--ammonia ligase (EC 6.3.1.1)	1	-26	62.5	96	1
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	1	-80	63.52	233	1
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	1	-80	63.52	233	1
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	1	-80	63.52	233	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	1	-80	63.52	233	1
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	1	-80	63.52	233	1
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-128.5	74.97	299.5	2
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-128.5	74.97	299.5	2
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-128.5	74.97	299.5	2
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-51	67.29	143	2
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	2	-95.5	71.47	229	2
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1	-65	63.64	176	1
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1	-65	63.64	176	1
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1	-65	63.64	176	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1	-65	63.64	176	1
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1	-65	63.64	176	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	1	-7	67.5	40	1
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	2	-41	67.83	116.5	2
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	1	-38	68.18	110	1
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
QPX_v15	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-34.5	65.28	101.5	2
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	3	-34	65.05	104	3
mmetsp1002	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
mmetsp1433	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	glutamine synthetase family protein	1	-38	70.37	108	1
mmetsp98	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	glutamine synthetase family protein	1	-38	70.37	108	1
mmetsp992	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine	 ammonia assimilation	Glutamine synthetases	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	1	-7	67.5	40	1
mmetsp1433	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Histidinol dehydrogenase (EC 1.1.1.23)	1	-22	61.63	86	1	
mmetsp98	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Histidinol dehydrogenase (EC 1.1.1.23)	1	-22	61.63	86	1	
mmetsp992	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Histidinol dehydrogenase (EC 1.1.1.23)	1	-22	61.63	86	1	
mmetsp1002	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Histidinol dehydrogenase (EC 1.1.1.23)	1	-22	61.63	86	1	
mmetsp1433	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	1	-34	71.72	99	1	
QPX_v15	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	1	-34	71.72	99	1	
mmetsp98	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	1	-34	71.72	99	1	
mmetsp992	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	1	-34	71.72	99	1	
mmetsp1002	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	1	-34	71.72	99	1	
mmetsp1433	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	1	-34	71.72	99	1	
QPX_v15	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	1	-34	71.72	99	1	
mmetsp98	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	1	-34	71.72	99	1	
mmetsp992	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	1	-34	71.72	99	1	
mmetsp1002	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	1	-34	71.72	99	1	
mmetsp1433	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	1	-50	62.42	149	1	
QPX_v15	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	1	-50	62.42	149	1	
mmetsp98	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	1	-50	62.42	149	1	
mmetsp992	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	2	-50	62.42	149	1	
mmetsp1002	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	1	-50	62.42	149	1	
mmetsp1433	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	1	-29	62	100	1	
mmetsp98	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	1	-29	62	100	1	
mmetsp992	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	1	-29	62	100	1	
mmetsp1002	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	1	-29	62	100	1	
mmetsp1433	Amino Acids and Derivatives	Histidine Metabolism	Histidine Degradation	Imidazolonepropionase (EC 3.5.2.7)	1	-30	60.36	111	1	
QPX_v15	Amino Acids and Derivatives	Histidine Metabolism	Histidine Degradation	Imidazolonepropionase (EC 3.5.2.7)	1	-28	61.54	104	1	
mmetsp98	Amino Acids and Derivatives	Histidine Metabolism	Histidine Degradation	Imidazolonepropionase (EC 3.5.2.7)	1	-30	60.36	111	1	
mmetsp992	Amino Acids and Derivatives	Histidine Metabolism	Histidine Degradation	Imidazolonepropionase (EC 3.5.2.7)	1	-30	60.36	111	1	
mmetsp1002	Amino Acids and Derivatives	Histidine Metabolism	Histidine Degradation	Imidazolonepropionase (EC 3.5.2.7)	1	-30	60.36	111	1	
mmetsp1433	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine Biosynthesis	Adenylylsulfate kinase (EC 2.7.1.25)	1	-58	65	160	1	
